GENESIS-Tabelle: 14345-01-04-4
Landtagswahlen: Sachsen-Anhalt - Wahlberechtigte und;;;;;;;;;;;;
-beteiligung, Gültige Stimmen nach Parteien;;;;;;;;;;;;
- Wahl-/Stichtag - regionale Tiefe: Kreise und krfr. Städte;;;;;;;;;;;;
Landtagswahlen: Sachsen-Anhalt;;;;;;;;;;;;
;;;Wahlberechtigte;Wahlbeteiligung;Gültige Stimmen;Gültige Stimmen;Gültige Stimmen;Gültige Stimmen;Gültige Stimmen;Gültige Stimmen;Gültige Stimmen;Gültige Stimmen
;;;;;;Parteien;Parteien;Parteien;Parteien;Parteien;Parteien;Parteien
;;;;;;CDU/CSU;SPD;GRÜNE;FDP;DIE LINKE;AfD;Sonstige Parteien
;;;Anzahl;Prozent;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl
21.04.2002;15153;    Bernburg, Kreis;57496;54,8;30609;11856;6197;364;3895;5901;-;2396
21.04.2002;15154;    Bitterfeld, Kreis;87279;57,3;48677;18311;10146;617;5700;9460;-;4443
21.04.2002;15159;    Köthen, Kreis;56451;54,6;29983;11208;6227;522;3547;6032;-;2447
21.04.2002;15171;    Wittenberg, Kreis;105897;59,9;61788;25864;10599;858;6864;12521;-;5082
21.04.2002;152;  Halle, Statistische Region;698131;56,0;381752;137513;72099;7523;54972;82575;-;27070
21.04.2002;15202;    Halle (Saale), kreisfreie Stadt;196173;56,9;109516;32691;20636;4116;19093;26352;-;6628
21.04.2002;15256;    Burgenlandkreis;116749;55,0;62511;23634;12405;945;7733;12907;-;4887
21.04.2002;15260;    Mansfelder Land, Kreis;89005;56,6;48828;19483;9264;441;5759;10267;-;3614
21.04.2002;15261;    Merseburg-Querfurt, Kreis;109737;53,9;57961;21093;11666;678;7724;12381;-;4419
21.04.2002;15265;    Saalkreis;66669;62,1;40353;16483;6015;618;6826;7334;-;3077
21.04.2002;15266;    Sangerhausen, Kreis;55477;56,2;30264;11854;5488;397;4230;6153;-;2142
21.04.2002;15268;    Weißenfels, Kreis;64321;51,5;32319;12275;6625;328;3607;7181;-;2303
21.04.2002;153;  Magdeburg, Statistische Region;973750;56,5;535484;202476;111769;10737;69360;105242;-;35900
21.04.2002;15303;    Magdeburg, kreisfreie Stadt;189425;58,4;108516;36101;23645;3042;16987;22916;-;5825
21.04.2002;15352;    Aschersleben-Staßfurt, Kreis;83510;55,0;44302;17466;9432;551;4283;9073;-;3497
21.04.2002;15355;    Bördekreis;64317;56,0;34857;13752;7423;533;4601;6214;-;2334
21.04.2002;15357;    Halberstadt, Kreis;64782;54,5;34374;13860;6634;795;4019;6728;-;2338
21.04.2002;15358;    Jerichower Land, Kreis;81313;56,1;44359;16933;8604;781;6064;8886;-;3091
21.04.2002;15362;    Ohrekreis;95015;57,9;53735;22371;10270;871;7285;9223;-;3715
21.04.2002;15363;    Stendal, Kreis;109986;55,5;59242;23258;12465;1062;6540;11962;-;3955
21.04.2002;15364;    Quedlinburg, Kreis;64016;54,3;33772;11747;7241;699;5090;6284;-;2711
21.04.2002;15367;    Schönebeck, Kreis;62449;55,2;33649;14141;6409;599;4018;6232;-;2250
21.04.2002;15369;    Wernigerode, Kreis;78552;58,8;45043;17172;10151;911;4986;8578;-;3245
21.04.2002;15370;    Altmarkkreis Salzwedel, Kreis;80385;55,8;43635;15675;9495;893;5487;9146;-;2939
26.04.1998;15;Sachsen-Anhalt;2148365;71,5;1495531;329282;536501;48542;63250;293475;-;224481
26.04.1998;15001;    Dessau-Roßlau, kreisfreie Stadt;.;.;.;.;.;.;.;.;-;.
26.04.1998;15002;    Halle (Saale), kreisfreie Stadt;210937;71,7;148062;28136;46372;7938;7606;34354;-;23656
26.04.1998;15003;    Magdeburg, kreisfreie Stadt, Landeshauptstadt;196774;70,9;136731;25865;51925;6866;4039;29702;-;18334
26.04.1998;15081;    Altmarkkreis Salzwedel;79605;71,6;55624;12401;21186;1654;2170;11391;-;6822
26.04.1998;15082;    Anhalt-Bitterfeld, Landkreis;.;.;.;.;.;.;.;.;-;.
26.04.1998;15083;    Börde, Landkreis;.;.;.;.;.;.;.;.;-;.
26.04.1998;15084;    Burgenlandkreis;.;.;.;.;.;.;.;.;-;.
26.04.1998;15085;    Harz, Landkreis;.;.;.;.;.;.;.;.;-;.
26.04.1998;15086;    Jerichower Land, Landkreis;.;.;.;.;.;.;.;.;-;.
26.04.1998;15087;    Mansfeld-Südharz, Landkreis;.;.;.;.;.;.;.;.;-;.
26.04.1998;15088;    Saalekreis;.;.;.;.;.;.;.;.;-;.
26.04.1998;15089;    Salzlandkreis;.;.;.;.;.;.;.;.;-;.
26.04.1998;15090;    Stendal, Landkreis;111743;70,9;77240;17722;30574;2230;2361;15049;-;9304
26.04.1998;15091;    Wittenberg, Landkreis;.;.;.;.;.;.;.;.;-;.
26.04.1998;151;  Dessau, Statistische Region;451263;71,9;315686;70436;109171;9553;13772;59767;-;52987
26.04.1998;15101;    Dessau, kreisfreie Stadt;71888;70,9;49858;9509;17787;2220;2054;10657;-;7631
26.04.1998;15151;    Anhalt-Zerbst, Kreis;63558;71,3;44099;9573;15454;1595;2230;8247;-;7000
26.04.1998;15153;    Bernburg, Kreis;58735;71,3;40584;8954;14189;840;1930;7412;-;7259
26.04.1998;15154;    Bitterfeld, Kreis;91499;72,5;64773;14343;21737;1715;2676;11494;-;12808
26.04.1998;15159;    Köthen, Kreis;56985;71,2;39203;8817;13553;1108;1598;7683;-;6444
26.04.1998;15171;    Wittenberg, Kreis;108598;73,1;77169;19240;26451;2075;3284;14274;-;11845
26.04.1998;152;  Halle, Statistische Region;714175;71,7;498355;109335;165696;16342;24836;103736;-;78410
26.04.1998;15202;    Halle (Saale), kreisfreie Stadt;210937;71,7;148062;28136;46372;7938;7606;34354;-;23656
26.04.1998;15256;    Burgenlandkreis;118517;71,3;82080;18568;28534;2367;3631;16570;-;12410
