GENESIS-Tabelle: 14336-01-03-4
Landtagswahlen: Hessen - Wahlberechtigte und;;;;;;;;;;;;
-beteiligung, G¸ltige Stimmen nach Parteien;;;;;;;;;;;;
- Wahl-/Stichtag - regionale Tiefe: Kreise und krfr. St‰dte;;;;;;;;;;;;
Landtagswahlen: Hessen;;;;;;;;;;;;
;;;Wahlberechtigte;Wahlbeteiligung;G¸ltige Stimmen;G¸ltige Stimmen;G¸ltige Stimmen;G¸ltige Stimmen;G¸ltige Stimmen;G¸ltige Stimmen;G¸ltige Stimmen;G¸ltige Stimmen
;;;;;;Parteien;Parteien;Parteien;Parteien;Parteien;Parteien;Parteien
;;;;;;CDU/CSU;SPD;GR‹NE;FDP;DIE LINKE;AfD;Sonstige Parteien
;;;Anzahl;Prozent;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl
19.02.1995;06411;    Darmstadt, kreisfreie Stadt, Wissenschaftsstadt;98779;65,4;63461;20214;22466;12360;5686;-;-;2735
19.02.1995;06412;    Frankfurt am Main, kreisfreie Stadt;386105;64,1;242348;95001;73705;41134;18849;-;-;13659
19.02.1995;06413;    Offenbach am Main, kreisfreie Stadt;72089;59,3;41747;16275;14780;5338;2742;-;-;2612
19.02.1995;06414;    Wiesbaden, kreisfreie Stadt, Landeshauptstadt;187183;63,7;117111;46911;39766;15890;8769;-;-;5775
19.02.1995;06431;    Bergstraﬂe, Landkreis;192167;56,3;105791;42676;38959;10556;8846;-;-;4754
19.02.1995;06432;    Darmstadt-Dieburg, Landkreis;198016;68,3;131864;46426;53536;16628;9548;-;-;5726
19.02.1995;06433;    Groﬂ-Gerau, Landkreis;164773;67,9;108924;36696;48076;13265;6257;-;-;4630
19.02.1995;06434;    Hochtaunuskreis;160107;70,0;109723;48173;30049;13476;12793;-;-;5232
19.02.1995;06435;    Main-Kinzig-Kreis;286648;64,6;180197;76228;66010;18060;11240;-;-;8659
19.02.1995;06436;    Main-Taunus-Kreis;155367;70,4;107298;48386;30327;12414;10884;-;-;5287
19.02.1995;06437;    Odenwaldkreis;70099;68,9;46853;16111;21771;4612;2577;-;-;1782
19.02.1995;06438;    Offenbach, Landkreis;229470;67,0;150272;65190;49099;18182;11398;-;-;6403
19.02.1995;06439;    Rheingau-Taunus-Kreis;132670;69,2;89868;37814;30459;10168;7669;-;-;3758
19.02.1995;06440;    Wetteraukreis;207216;66,4;133715;53728;50820;13749;9776;-;-;5642
19.02.1995;065;  Gieﬂen, Regierungsbezirk;773017;64,8;489385;191257;197738;47470;32537;-;-;20383
19.02.1995;06531;    Gieﬂen, Landkreis;183024;68,0;121407;44734;48029;13862;9447;-;-;5335
19.02.1995;06532;    Lahn-Dill-Kreis;191275;59,6;111523;42743;47651;8497;7359;-;-;5273
19.02.1995;06533;    Limburg-Weilburg, Landkreis;126219;61,8;76400;36244;29194;5020;3955;-;-;1987
19.02.1995;06534;    Marburg-Biedenkopf, Landkreis;181393;67,4;119603;44274;47553;15575;7121;-;-;5080
19.02.1995;06535;    Vogelsbergkreis;91106;68,0;60452;23262;25311;4516;4655;-;-;2708
19.02.1995;066;  Kassel, Regierungsbezirk;961321;69,2;650264;243060;283891;56595;46602;-;-;20116
19.02.1995;06611;    Kassel, kreisfreie Stadt, documenta-Stadt;144927;64,2;91351;30765;36303;14123;6968;-;-;3192
19.02.1995;06631;    Fulda, Landkreis;156961;66,9;102698;59797;27079;7063;5445;-;-;3314
19.02.1995;06632;    Hersfeld-Rotenburg, Landkreis;103066;72,3;72961;25647;35557;5108;4063;-;-;2586
