GENESIS-Tabelle: 14333-01-03-4
Landtagswahlen: Niedersachsen - Wahlberechtigte und;;;;;;;;;;;;
-beteiligung, Gültige Stimmen nach Parteien;;;;;;;;;;;;
- Wahl-/Stichtag - regionale Tiefe: Kreise und krfr. Städte;;;;;;;;;;;;
Landtagswahlen: Niedersachsen;;;;;;;;;;;;
;;;Wahlberechtigte;Wahlbeteiligung;Gültige Stimmen;Gültige Stimmen;Gültige Stimmen;Gültige Stimmen;Gültige Stimmen;Gültige Stimmen;Gültige Stimmen;Gültige Stimmen
;;;;;;Parteien;Parteien;Parteien;Parteien;Parteien;Parteien;Parteien
;;;;;;CDU/CSU;SPD;GRÜNE;FDP;DIE LINKE;AfD;Sonstige Parteien
;;;Anzahl;Prozent;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl
27.01.2008;03455;    Friesland, Landkreis;79652;57,0;44563;17423;15146;3200;3723;3113;-;1958
27.01.2008;03456;    Grafschaft Bentheim, Landkreis;95782;57,4;54399;29088;14906;2433;3831;2708;-;1433
27.01.2008;03457;    Leer, Landkreis;126264;55,4;68331;27050;23735;4209;3780;5115;-;4442
27.01.2008;03458;    Oldenburg, Landkreis;96631;58,1;55449;23137;15413;4424;6503;3730;-;2242
27.01.2008;03459;    Osnabrück, Landkreis;269573;60,3;160761;79229;44339;10933;12784;9110;-;4366
27.01.2008;03460;    Vechta, Landkreis;95945;58,5;55524;36644;8991;2110;4965;1650;-;1164
27.01.2008;03461;    Wesermarsch, Landkreis;71212;57,7;40243;16578;13632;2765;2957;3101;-;1210
27.01.2008;03462;    Wittmund, Landkreis;45292;56,4;25069;11181;8546;1157;1671;1486;-;1028
02.02.2003;03;Niedersachsen;6023636;67,0;3984009;1925055;1330156;304532;323107;21560;-;79599
02.02.2003;031;  Braunschweig, Statistische Region;1270798;67,6;846237;371476;324641;60248;68416;5495;-;15961
