GENESIS-Tabelle: 14344-01-03-4
Landtagswahlen: Sachsen - Wahlberechtigte und;;;;;;;;;;;;
-beteiligung, Gültige Stimmen nach Parteien;;;;;;;;;;;;
- Wahl-/Stichtag - regionale Tiefe: Kreise und krfr. Städte;;;;;;;;;;;;
Landtagswahlen: Sachsen;;;;;;;;;;;;
;;;Wahlberechtigte;Wahlbeteiligung;Gültige Stimmen;Gültige Stimmen;Gültige Stimmen;Gültige Stimmen;Gültige Stimmen;Gültige Stimmen;Gültige Stimmen;Gültige Stimmen
;;;;;;Parteien;Parteien;Parteien;Parteien;Parteien;Parteien;Parteien
;;;;;;CDU/CSU;SPD;GRÜNE;FDP;DIE LINKE;AfD;Sonstige Parteien
;;;Anzahl;Prozent;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl
19.09.2004;14191;    Aue-Schwarzenberg, Landkreis;112388;58,8;64642;28557;5169;1483;3152;15321;-;10960
19.09.2004;14193;    Zwickauer Land, Landkreis;109211;58,5;62597;27213;5847;1724;3426;14886;-;9501
19.09.2004;142;  Dresden, Regierungsbezirk;1373443;62,5;843073;351888;66607;52187;53307;192471;-;126613
19.09.2004;14262;    Dresden, kreisfreie Stadt;392793;64,2;248575;99455;22083;27507;15861;55724;-;27945
19.09.2004;14263;    Görlitz, kreisfreie Stadt;47833;57,0;26592;9716;2394;1370;1713;6745;-;4654
19.09.2004;14264;    Hoyerswerda, kreisfreie Stadt;37374;54,3;19805;6300;2245;623;1051;6784;-;2802
19.09.2004;14272;    Bautzen, Landkreis;125999;62,2;76747;33256;4980;2733;5113;16724;-;13941
19.09.2004;14280;    Meißen, Landkreis;124472;62,0;75794;34156;6243;4575;4585;15533;-;10702
19.09.2004;14284;    Niederschlesischer Oberlausitzkreis;81739;59,2;47419;18427;4169;1354;2903;12698;-;7868
19.09.2004;14285;    Riesa-Großenhain, Landkreis;96736;61,1;57932;23907;4435;2018;3277;14068;-;10227
19.09.2004;14286;    Löbau-Zittau, Landkreis;121818;59,8;71146;29438;4606;2759;4742;17002;-;12599
19.09.2004;14287;    Sächsische Schweiz, Landkreis;117991;66,0;76795;33156;4582;3189;4769;17326;-;13773
19.09.2004;14290;    Weißeritzkreis;101438;63,8;63838;31055;4581;3152;3938;12262;-;8850
19.09.2004;14292;    Kamenz, Landkreis;125250;63,9;78430;33022;6289;2907;5355;17605;-;13252
19.09.2004;143;  Leipzig, Regierungsbezirk;875609;56,0;481565;184756;65536;29462;24975;118397;-;58439
19.09.2004;14365;    Leipzig, kreisfreie Stadt;395314;55,1;214658;70240;36664;19841;10124;54839;-;22950
19.09.2004;14374;    Delitzsch, Landkreis;102106;54,0;54125;23246;6331;1930;2846;13417;-;6355
19.09.2004;14375;    Döbeln, Landkreis;61888;58,8;35741;15314;2992;996;2542;8664;-;5233
19.09.2004;14379;    Leipziger Land, Landkreis;124673;55,8;68226;28793;8733;2634;3527;15956;-;8583
19.09.2004;14383;    Muldentalkreis;110342;58,9;63830;28355;6702;2637;3291;14337;-;8508
19.09.2004;14389;    Torgau-Oschatz, Landkreis;81286;56,6;44985;18808;4114;1424;2645;11184;-;6810
19.09.2004;145;  Chemnitz, Statistische Region;1367378;59,0;791238;333873;75287;26118;46865;188284;-;120811
19.09.2004;14511;    Chemnitz, kreisfreie Stadt;208097;60,3;123350;46013;14451;6268;6540;34221;-;15857
19.09.2004;14521;    Erzgebirgskreis;335250;61,3;201108;90533;15763;5029;11303;43272;-;35208
19.09.2004;14522;    Mittelsachsen, Landkreis;294208;60,9;175545;78837;15455;5383;11003;40016;-;24851
19.09.2004;14523;    Vogtlandkreis;222219;54,6;119100;47163;12244;3998;7993;28537;-;19165
19.09.2004;14524;    Zwickau, Landkreis;307604;57,1;172135;71327;17374;5440;10026;42238;-;25730
19.09.2004;146;  Dresden, Statistische Region;1373443;62,5;843073;351888;66607;52187;53307;192471;-;126613
19.09.2004;14612;    Dresden, kreisfreie Stadt;392793;64,2;248575;99455;22083;27507;15861;55724;-;27945
19.09.2004;14625;    Bautzen, Landkreis;288623;61,9;174982;72578;13514;6263;11519;41113;-;29995
19.09.2004;14626;    Görlitz, Landkreis;251390;59,1;145157;57581;11169;5483;9358;36445;-;25121
19.09.2004;14627;    Meißen, Landkreis;221208;61,6;133726;58063;10678;6593;7862;29601;-;20929
19.09.2004;14628;    Sächsische Schweiz-Osterzgebirge, Landkreis;219429;65,0;140633;64211;9163;6341;8707;29588;-;22623
19.09.2004;147;  Leipzig, Statistische Region;813721;55,7;445824;169442;62544;28466;22433;109733;-;53206
19.09.2004;14713;    Leipzig, kreisfreie Stadt;395314;55,1;214658;70240;36664;19841;10124;54839;-;22950
19.09.2004;14729;    Leipzig, Landkreis;235015;57,3;132056;57148;15435;5271;6818;30293;-;17091
19.09.2004;14730;    Nordsachsen, Landkreis;183392;55,2;99110;42054;10445;3354;5491;24601;-;13165
19.09.1999;14;Sachsen;3592456;61,1;2164072;1231254;232311;55609;23369;480317;-;141212
19.09.1999;141;  Chemnitz, Regierungsbezirk;1340797;61,5;812492;464427;92781;14899;8706;175812;-;55867
19.09.1999;14161;    Chemnitz, kreisfreie Stadt;217884;60,6;130329;64608;16428;3500;1217;35780;-;8796
19.09.1999;14166;    Plauen, kreisfreie Stadt;59122;64,2;37339;19075;5314;933;488;8646;-;2883
19.09.1999;14167;    Zwickau, kreisfreie Stadt;86480;56,1;47824;25426;5730;941;424;12293;-;3010
19.09.1999;14171;    Annaberg, Landkreis;72887;63,7;45561;29200;3966;627;458;7850;-;3460
19.09.1999;14173;    Chemnitzer Land, Landkreis;116542;60,7;69723;38737;9420;1412;848;14372;-;4934
